Day,AUC_0_24_exposure_x,y_emax(x),TT_simulated_ng_dL,Dose_mg_per_day,Scenario
13,18.954365421679746,0.15676291744661525,535.9570545065449,0.1,36h_half_life (r=0.63)
14,18.971679884050186,0.15686206910446124,531.2520016786276,0.1,36h_half_life (r=0.63)
15,18.982587995343565,0.15692450607028208,526.8578658696648,0.1,36h_half_life (r=0.63)
16,18.98946010545839,0.15696383002234646,522.7553681821014,0.1,36h_half_life (r=0.63)
17,18.99378953483073,0.1569885996143411,518.9259496666708,0.1,36h_half_life (r=0.63)
18,18.996517075335305,0.1570042026725216,515.3519346925716,0.1,36h_half_life (r=0.63)
19,18.99823542585319,0.1570140318908984,512.016604925448,0.1,36h_half_life (r=0.63)
20,18.99931798667945,0.15702022401738586,508.9042190268767,0.1,36h_half_life (r=0.63)
21,19.0,0.15702412494551468,505.99999999999994,0.1,36h_half_life (r=0.63)
0,0.0,0.0,622.0,0.3,36h_half_life (r=0.63)
1,31.451922200700807,0.21628595054800218,611.4448757905925,0.3,36h_half_life (r=0.63)
2,51.26663318714232,0.2782085656057562,598.574667178489,0.3,36h_half_life (r=0.63)
3,63.74990110860046,0.3053839306523274,585.2401336545942,0.3,36h_half_life (r=0.63)
4,71.61435989911911,0.31945712551853456,572.1117779771245,0.3,36h_half_life (r=0.63)
5,76.56896893714584,0.32737034333760734,559.4764104452051,0.3,36h_half_life (r=0.63)
6,79.69037263110269,0.33202672302660474,547.4599563870655,0.3,36h_half_life (r=0.63)
7,81.65685695829549,0.33484022592905455,536.1109045571476,0.3,36h_half_life (r=0.63)
8,82.89574208442697,0.3365674977410196,525.4375709593244,0.3,36h_half_life (r=0.63)
9,83.6762397138898,0.33763829143985025,515.4267420194473,0.3,36h_half_life (r=0.63)
10,84.16795322045138,0.33830612694304646,506.05371683143693,0.3,36h_half_life (r=0.63)
11,84.47773272958517,0.3387242118653272,497.28797184143616,0.3,36h_half_life (r=0.63)
12,84.67289382033947,0.3389865612420282,489.0964394721984,0.3,36h_half_life (r=0.63)
13,84.79584530751467,0.339151428977228,481.44542369307646,0.3,36h_half_life (r=0.63)
14,84.87330474443505,0.3392551324873899,474.30171264377066,0.3,36h_half_life (r=0.63)
15,84.92210418969488,0.33932040106584416,467.63320933453247,0.3,36h_half_life (r=0.63)
16,84.95284784020859,0.33936149464900306,461.4092703057176,0.3,36h_half_life (r=0.63)
17,84.9722163400322,0.3393873734451901,455.60086692501625,0.3,36h_half_life (r=0.63)
18,84.9844184949211,0.33940367305577474,450.1806394938011,0.3,36h_half_life (r=0.63)
19,84.9921058525011,0.33941394021102567,445.1228874241127,0.3,36h_half_life (r=0.63)
20,84.9969488877765,0.33942040788414796,440.4035222465726,0.3,36h_half_life (r=0.63)
21,85.0,0.339424482266339,436.0000000000001,0.3,36h_half_life (r=0.63)
0,0.0,0.0,622.0,1.0,36h_half_life (r=0.63)
1,88.06538216196226,0.34342187040344696,602.2401664079084,1.0,36h_half_life (r=0.63)
2,143.5465729239985,0.39302911739820146,580.949284224077,1.0,36h_half_life (r=0.63)
3,178.49972310408128,0.411504791815617,560.0211339735523,1.0,36h_half_life (r=0.63)
4,200.52020771753348,0.4204179592781257,539.9816328333792,1.0,36h_half_life (r=0.63)
5,214.39311302400833,0.42524930423398577,521.0061308436331,1.0,36h_half_life (r=0.63)
6,223.1330433670875,0.4280341426803313,503.1411272107615,1.0,36h_half_life (r=0.63)
7,228.63919948322737,0.4296964789405652,486.3768417977109,1.0,36h_half_life (r=0.63)
8,232.10807783639552,0.43070954822634916,470.67692037049403,1.0,36h_half_life (r=0.63)
9,234.29347119889144,0.4313347538259747,455.99240258721704,1.0,36h_half_life (r=0.63)
10,235.67026901726388,0.43172359312309105,442.26888996568016,1.0,36h_half_life (r=0.63)
11,236.53765164283848,0.4319665931458029,429.4504181763014,1.0,36h_half_life (r=0.63)
12,237.08410269695048,0.43211890956303994,417.4815971021749,1.0,36h_half_life (r=0.63)
13,237.42836686104107,0.4322145637921899,406.30878840993154,1.0,36h_half_life (r=0.63)
14,237.64525328441815,0.4322747053353614,395.88072886327285,1.0,36h_half_life (r=0.63)
15,237.78189173114566,0.4323125467521092,386.14882794622673,1.0,36h_half_life (r=0.63)
16,237.86797395258404,0.43233636792022,377.06727269608024,1.0,36h_half_life (r=0.63)
17,237.92220575209018,0.432351367752432,368.5930189717473,1.0,36h_half_life (r=0.63)
18,237.95637178577908,0.4323608146703596,360.68571711081177,1.0,36h_half_life (r=0.63)
19,237.97789638700306,0.4323667650477968,353.3076012272508,1.0,36h_half_life (r=0.63)
20,237.9914568857742,0.43237051331701576,346.4233600243084,1.0,36h_half_life (r=0.63)
21,238.0,0.4323728745406785,340.0000000000001,1.0,36h_half_life (r=0.63)
