day,dose_mg_day,suppression_pct
36.0,2.5689873417721514,47.75778725427654
37.0,2.5689873417721514,47.75778725427654
38.0,2.5689873417721514,47.75778725427654
39.0,2.5689873417721514,47.75778725427654
40.0,2.5689873417721514,47.75778725427654
41.0,2.5689873417721514,47.75778725427654
42.0,2.5689873417721514,47.75778725427654
43.0,2.5689873417721514,47.75778725427654
44.0,2.5689873417721514,47.75778725427654
45.0,2.5689873417721514,47.75778725427654
46.0,2.5689873417721514,47.75778725427654
47.0,2.5689873417721514,47.75778725427654
48.0,2.5689873417721514,47.75778725427654
49.0,2.5689873417721514,47.75778725427654
50.0,2.5689873417721514,47.75778725427654
51.0,2.5689873417721514,47.75778725427654
52.0,2.5689873417721514,47.75778725427654
53.0,2.5689873417721514,47.75778725427654
54.0,2.5689873417721514,47.75778725427654
55.0,2.5689873417721514,47.75778725427654
56.0,2.5689873417721514,47.75778725427654
0.0,2.6949367088607588,0.0
1.0,2.6949367088607588,33.06944912210402
2.0,2.6949367088607588,39.650433057382116
3.0,2.6949367088607588,42.45308905521667
4.0,2.6949367088607588,43.996901407080706
5.0,2.6949367088607588,44.96874164744659
6.0,2.6949367088607588,45.63275824134879
7.0,2.6949367088607588,46.11222356289119
8.0,2.6949367088607588,46.47240956455995
9.0,2.6949367088607588,46.75111601310182
10.0,2.6949367088607588,46.97175248879391
11.0,2.6949367088607588,47.149594416554045
12.0,2.6949367088607588,47.295035953050785
13.0,2.6949367088607588,47.415397030700525
14.0,2.6949367088607588,47.51598260701862
15.0,2.6949367088607588,47.60073186384438
16.0,2.6949367088607588,47.67263133657417
17.0,2.6949367088607588,47.73398641485278
18.0,2.6949367088607588,47.78660481368495
19.0,2.6949367088607588,47.831923622586366
20.0,2.6949367088607588,47.87109920416203
21.0,2.6949367088607588,47.90507204147841
22.0,2.6949367088607588,47.90507204147841
23.0,2.6949367088607588,47.90507204147841
24.0,2.6949367088607588,47.90507204147841
25.0,2.6949367088607588,47.90507204147841
26.0,2.6949367088607588,47.90507204147841
27.0,2.6949367088607588,47.90507204147841
28.0,2.6949367088607588,47.90507204147841
29.0,2.6949367088607588,47.90507204147841
30.0,2.6949367088607588,47.90507204147841
31.0,2.6949367088607588,47.90507204147841
32.0,2.6949367088607588,47.90507204147841
33.0,2.6949367088607588,47.90507204147841
34.0,2.6949367088607588,47.90507204147841
35.0,2.6949367088607588,47.90507204147841
36.0,2.6949367088607588,47.90507204147841
37.0,2.6949367088607588,47.90507204147841
38.0,2.6949367088607588,47.90507204147841
39.0,2.6949367088607588,47.90507204147841
40.0,2.6949367088607588,47.90507204147841
41.0,2.6949367088607588,47.90507204147841
42.0,2.6949367088607588,47.90507204147841
43.0,2.6949367088607588,47.90507204147841
44.0,2.6949367088607588,47.90507204147841
45.0,2.6949367088607588,47.90507204147841
46.0,2.6949367088607588,47.90507204147841
47.0,2.6949367088607588,47.90507204147841
48.0,2.6949367088607588,47.90507204147841
49.0,2.6949367088607588,47.90507204147841
50.0,2.6949367088607588,47.90507204147841
51.0,2.6949367088607588,47.90507204147841
52.0,2.6949367088607588,47.90507204147841
53.0,2.6949367088607588,47.90507204147841
54.0,2.6949367088607588,47.90507204147841
55.0,2.6949367088607588,47.90507204147841
56.0,2.6949367088607588,47.90507204147841
0.0,2.8208860759493666,0.0
