Scenario,Dose_mg_per_day,Day,n_mc,suppression_pct_p01,suppression_pct_p05,suppression_pct_p25,suppression_pct_p50,suppression_pct_p75,suppression_pct_p95,suppression_pct_p99
24h_half_life (r=0.5),0.1,14,15000,13.451409636417388,13.753387360030457,14.33664904370737,14.832582817279414,15.401794434133397,16.336750187991843,16.97489448476403
24h_half_life (r=0.5),0.1,15,15000,14.264413783022436,14.536677782117117,15.058508018735276,15.497816142674093,15.996678852734366,16.801977764153033,17.339406603622844
24h_half_life (r=0.5),0.1,16,15000,15.052740158572126,15.290212564131227,15.741886103419628,16.1183974125385,16.541458886590615,17.212831659164472,17.651109409523112
24h_half_life (r=0.5),0.1,17,15000,15.817131768846796,16.015115691237312,16.388827626665673,16.697316185553618,17.040346287766962,17.57565721008078,17.91764314598688
24h_half_life (r=0.5),0.1,18,15000,16.558312279864605,16.712471878975315,17.001271818249855,17.23736566121143,17.497202927217458,17.896064069430256,18.145547996974376
24h_half_life (r=0.5),0.1,19,15000,17.276984992657418,17.38332634163922,17.58105645145126,17.74115367205923,17.915567776907498,18.179009092411032,18.340419820329654
24h_half_life (r=0.5),0.1,20,15000,17.97383265548471,18.028685431522856,18.1299222725872,18.211114034371057,18.29868286773558,18.42887110014525,18.507045171173324
24h_half_life (r=0.5),0.1,21,15000,18.649517684887414,18.649517684887435,18.64951768488745,18.64951768488746,18.649517684887467,18.649517684887485,18.649517684887506
24h_half_life (r=0.5),0.3,0,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24h_half_life (r=0.5),0.3,1,15000,1.450098465897702,1.5518649241079066,1.7693991828125881,1.9802995195994648,2.2596564381327546,2.842778212135619,3.385751070111003
24h_half_life (r=0.5),0.3,2,15000,3.147014139779221,3.3560184959992116,3.79933724535287,4.224826662742519,4.782151300452348,5.923347727943698,6.959811956355992
24h_half_life (r=0.5),0.3,3,15000,4.8982302841027385,5.204866764707634,5.850158503817003,6.463168471704401,7.25702397259681,8.851187970961286,10.262890753042733
24h_half_life (r=0.5),0.3,4,15000,6.642289433418862,7.03270541098948,7.847771531337717,8.614064105023425,9.595088977831658,11.5269089229775,13.194625507734495
24h_half_life (r=0.5),0.3,5,15000,8.354928970832942,8.814134965954405,9.765143634388842,10.649954854733187,11.769726993800457,13.932000110413604,15.751688842338968
24h_half_life (r=0.5),0.3,6,15000,10.025989988366154,10.539026217157454,11.59299391022033,12.563386747077724,13.777390900626939,16.07631991997007,17.96244522193888
24h_half_life (r=0.5),0.3,7,15000,11.651436510842604,12.203857378630033,13.329631103890963,14.355346672519559,15.62389292215037,17.979972593477747,19.864723169769203
24h_half_life (r=0.5),0.3,8,15000,13.230066214701212,13.808141853304575,14.976762194490357,16.030457588618308,17.31878016668417,19.66602640782312,21.49719758593159
24h_half_life (r=0.5),0.3,9,15000,14.762022205991517,15.35281231134338,16.537600256987805,17.59481952260957,18.87283496668499,21.157418283069887,22.89599322400818
24h_half_life (r=0.5),0.3,10,15000,16.248086333592408,16.83945419645728,18.01597170596674,19.055001114607933,20.296933257213553,22.475663853257856,24.09349975675561
24h_half_life (r=0.5),0.3,11,15000,17.689335439262347,18.269933802642964,19.415887815057452,20.417565206290895,21.601531259228167,23.64038779659403,25.118155898357553
24h_half_life (r=0.5),0.3,12,15000,19.086972332684354,19.646216300898644,20.741339546976775,21.688850638993685,22.79645141678124,24.669231149564144,25.994648400533155
24h_half_life (r=0.5),0.3,13,15000,20.442242456414053,20.97027689200258,21.996201619878743,22.874878714485288,23.890811900617145,25.57792738232896,26.74427028956979
24h_half_life (r=0.5),0.3,14,15000,21.756392966840238,22.244058020238967,23.18419035739014,23.981320405193976,24.89302420388269,26.38044776966856,27.38532029937491
24h_half_life (r=0.5),0.3,15,15000,23.03065290253866,23.469449450618523,24.308848000841955,25.013492866758263,25.81082186397129,27.089168667402497,27.93349073752288
24h_half_life (r=0.5),0.3,16,15000,24.266223852835097,24.648279695831953,25.37353993550397,25.97636970167475,26.651302188016878,27.71503863321584,28.402222236903036
24h_half_life (r=0.5),0.3,17,15000,25.46427585262725,25.78231305877872,26.381458095991526,26.874597283886118,27.420972164998044,28.267735696162298,28.803018623894875
24h_half_life (r=0.5),0.3,18,15000,26.625945871788687,26.873249430741286,27.335627203827162,27.7125133601779,28.125794358138872,28.755811078760324,29.145721910556933
24h_half_life (r=0.5),0.3,19,15000,27.75233758502303,27.92272541844488,28.238912178772075,28.494166088486693,28.77123085427053,29.186818534016233,29.438750306881275
24h_half_life (r=0.5),0.3,20,15000,28.844521765899177,28.932316088788223,29.094025908005367,29.2233326406655,29.36228447181942,29.5674297690939,29.689303172181607
24h_half_life (r=0.5),0.3,21,15000,29.90353697749193,29.903536977491942,29.90353697749195,29.90353697749196,29.903536977491974,29.903536977491978,29.903536977491992
24h_half_life (r=0.5),1.0,0,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24h_half_life (r=0.5),1.0,1,15000,2.5265443169968904,2.7055258680283343,3.0883137993352037,3.459618802761106,3.9516254510042423,4.978863387459049,5.93524602996683
24h_half_life (r=0.5),1.0,2,15000,5.220239489139752,5.569384405575103,6.310035896460187,7.020877056243135,7.951731655888378,9.856148972184245,11.583042269760721
24h_half_life (r=0.5),1.0,3,15000,7.910701427938856,8.408539833211924,9.455988200631754,10.45059244714409,11.737685113534189,14.317975081556215,16.596723327974214
24h_half_life (r=0.5),1.0,4,15000,10.55214653558686,11.174798930788517,12.474128031825812,13.694771588165455,15.255769002636635,18.32250547680812,20.96042615326696
24h_half_life (r=0.5),1.0,5,15000,13.12838297695639,13.851999215784181,15.349659945288124,16.741663004188567,18.500900737135524,21.888369960165623,24.726836494220414
24h_half_life (r=0.5),1.0,6,15000,15.633583232611505,16.435164423366754,18.080645246325126,19.593822918716143,21.483867122206096,25.051475074130718,27.964195065473515
24h_half_life (r=0.5),1.0,7,15000,18.06623096181914,18.923934482062535,20.6703020558603,22.25929690191176,24.2210121446985,27.85167577385976,30.7405623833572
24h_half_life (r=0.5),1.0,8,15000,20.426747173261976,21.319988284234057,23.123988696272864,24.74818004525458,26.730260736834243,30.327893833689917,33.11857596536503
24h_half_life (r=0.5),1.0,9,15000,22.716444529623704,23.625909425743398,25.447883271103276,27.07112802456311,29.029442077219198,32.516282238040354,35.1539181553483
24h_half_life (r=0.5),1.0,10,15000,24.937038069186247,25.844656880581102,27.648374978549707,29.238686564171196,31.13557475931183,34.449638114562006,36.89523855760992
24h_half_life (r=0.5),1.0,11,15000,27.090409409885897,27.979311320241795,29.73177956647521,31.260992675599205,33.064585408027725,36.157354548795645,38.38464827797253
