Scenario,Dose_mg_per_day,Day,suppression_pct_p05,suppression_pct_p50,suppression_pct_p95,suppression_pct_min,suppression_pct_max,n_alpha
24h_half_life (r=0.5),0.3,10,16.753985501578008,19.041517215177002,22.782362973667357,16.534397402518774,23.229265501875844,5
24h_half_life (r=0.5),0.3,11,18.18536407206685,20.404629840072207,23.918401911945853,17.970812663854097,24.332981987319474,5
24h_half_life (r=0.5),0.3,12,19.56413277495525,21.676674421487554,24.916604028985248,19.358461707118988,25.29415881865684,5
24h_half_life (r=0.5),0.3,13,20.892193480133866,22.863641721987662,25.79381404922064,20.69892398935494,26.131079721280685,5
24h_half_life (r=0.5),0.3,14,22.171416123488562,23.97117523633101,26.564854629002145,21.993766030118138,26.859745609602136,5
24h_half_life (r=0.5),0.3,15,23.403619120140004,25.004567474355575,27.242740969005737,23.244521408665584,27.494128069131897,5
24h_half_life (r=0.5),0.3,16,24.59056099551766,25.968769990175055,27.838888205513484,24.4526816726693,28.046411055979885,5
24h_half_life (r=0.5),0.3,17,25.73393756044296,26.8684094801271,28.363302508306784,25.619692665389472,28.527211810799063,5
24h_half_life (r=0.5),0.3,18,26.835381800871918,27.7078061708009,28.824752973146175,26.74695353077089,28.945778423460045,5
24h_half_life (r=0.5),0.3,19,27.896465071248063,28.49099265920957,29.230924262302516,27.835817028442374,29.310164446239003,5
24h_half_life (r=0.5),0.3,20,28.918698888508167,29.22173233293071,29.588551197461637,28.887590475894378,29.627382214798946,5
24h_half_life (r=0.5),0.3,21,29.903536977491964,29.903536977491974,29.90353697749199,29.90353697749196,29.903536977491992,5
24h_half_life (r=0.5),1.0,0,0.0,0.0,0.0,0.0,0.0,5
24h_half_life (r=0.5),1.0,1,2.6815861856931504,3.454579810511642,5.169932785199254,2.6121400248748423,5.398644499114695,5
24h_half_life (r=0.5),1.0,2,5.522245715775832,7.011278940150191,10.19959464586294,5.387444500282198,10.619555543733048,5
24h_half_life (r=0.5),1.0,3,8.340701585559618,10.437231107588447,14.768950490489424,8.149447283724067,15.332515916506678,5
24h_half_life (r=0.5),1.0,4,11.08917745929599,13.67845722468376,18.841803785657266,10.851165280165509,19.505240705968678,5
24h_half_life (r=0.5),1.0,5,13.751601463847853,16.723153098693327,22.44398579864636,13.47637256170442,23.16988402401665,5
24h_half_life (r=0.5),1.0,6,16.322971621770513,19.573803939809892,25.618189474797976,16.019602958759364,26.37553307436993,5
24h_half_life (r=0.5),1.0,7,18.802853194355798,22.238381279726394,28.41016117608772,18.479850759131125,29.17375458257632,5
24h_half_life (r=0.5),1.0,8,21.19282834340323,24.726908819912435,30.863753519261923,20.858099882005387,31.61348126110737,5
24h_half_life (r=0.5),1.0,9,23.49537395538523,27.04997565801313,33.01915867194986,23.156235811697062,33.73924409055374,5
24h_half_life (r=0.5),1.0,10,25.713338131287,29.21806645350268,34.912431530967346,25.37653702922473,35.590754507963176,5
24h_half_life (r=0.5),1.0,11,27.84968943682741,31.241262723065,36.575557892193885,27.521430475039466,37.203050563666366,5
24h_half_life (r=0.5),1.0,12,29.90739608678068,33.129119513347185,38.036744605161516,29.59337282583326,38.606866968926376,5
24h_half_life (r=0.5),1.0,13,31.88936844215192,34.89062612022324,39.32078537995765,31.594793121440848,39.82907567828161,5
24h_half_life (r=0.5),1.0,14,33.798432681456596,36.53420686263193,40.4494357166519,33.52806564384466,40.89312792320241,5
24h_half_life (r=0.5),1.0,15,35.63731986918567,38.06774039981078,41.44176787816774,35.39549778057634,41.81946808441576,5
24h_half_life (r=0.5),1.0,16,37.40866260862178,39.49858702339663,42.31449462257383,37.199325309790865,42.625908473013936,5
24h_half_life (r=0.5),1.0,17,39.114995394267766,40.83361874882656,43.082258793778,38.94171134457796,43.32796282715775,5
24h_half_life (r=0.5),1.0,18,40.75875672963532,42.07924970327621,43.757889686096355,40.62474706117519,43.93914025037958,5
24h_half_life (r=0.5),1.0,19,42.34229204788436,43.24146563398923,44.35262869781113,42.250453276002816,44.47120290530918,5
24h_half_life (r=0.5),1.0,20,43.86785695768691,44.32585201809873,44.876327324197234,43.820782405706815,44.93439125169976,5
24h_half_life (r=0.5),1.0,21,45.33762057877811,45.337620578778115,45.337620578778136,45.33762057877811,45.337620578778136,5
36h_half_life (r=0.63),0.1,0,0.0,0.0,0.0,0.0,0.0,5
36h_half_life (r=0.63),0.1,1,0.6067899534195127,0.7733343337773327,1.1409403599587065,0.5917936217093145,1.1899170461178967,5
36h_half_life (r=0.63),0.1,2,1.4924100841894534,1.879003888897587,2.7075513834802,1.4573785516710465,2.8168440219730613,5
36h_half_life (r=0.63),0.1,3,2.5109240273546725,3.1219521367573355,4.3924632541116635,2.455192568929819,4.558324080426008,5
36h_half_life (r=0.63),0.1,4,3.587976041086398,4.40448330664685,6.050727123070189,3.5130048843978883,6.263350826552786,5
36h_half_life (r=0.63),0.1,5,4.682857219957944,5.674797060818919,7.613368064118001,4.591160043989974,7.8610174442550855,5
36h_half_life (r=0.63),0.1,6,5.772464164510674,6.905069261129567,9.050164529843373,5.667046591881212,9.321150194426982,5
36h_half_life (r=0.63),0.1,7,6.8435382488789545,8.08079191976737,10.351490179505653,6.727587588629872,10.635103628363673,5
36h_half_life (r=0.63),0.1,8,7.888556970924258,9.195112747025373,11.518730939943804,7.765266578563653,11.805636226463898,5
36h_half_life (r=0.63),0.1,9,8.903423475537203,10.245650238637644,12.558983435102128,8.77589325428039,12.84132244357067,5
36h_half_life (r=0.63),0.1,10,9.886114423237524,11.232633630119132,13.482050440853557,9.757295868969592,13.753398486591937,5
36h_half_life (r=0.63),0.1,11,10.835867967471055,12.157791508865772,14.298729113741842,10.708535779100572,14.553976690966897,5
36h_half_life (r=0.63),0.1,12,11.75268803707629,13.023679387626292,15.019848661494386,11.629427702891157,15.255051949283633,5
36h_half_life (r=0.63),0.1,13,12.637038677138326,13.833270979655166,15.655749313145467,12.520243658602583,15.867973223130829,5
36h_half_life (r=0.63),0.1,14,13.489654528191537,14.589710341056655,16.21602223455542,13.381529145599185,16.40318887575167,5
36h_half_life (r=0.63),0.1,15,14.311423045535113,15.29616304346225,16.709402745980615,14.21398866802967,16.870151808102186,5
36h_half_life (r=0.63),0.1,16,15.103311336068971,15.955728588086593,17.143751924491305,15.018414396045438,17.277315770789002,5
36h_half_life (r=0.63),0.1,17,15.866320859296206,16.57139072883106,17.526087320328738,15.795641778485278,17.63218145851593,5
36h_half_life (r=0.63),0.1,18,16.60145957020957,17.14599120698206,17.862639112679158,16.546522037498207,17.94136754191312,5
36h_half_life (r=0.63),0.1,19,17.309724990987696,17.682217857645025,18.158917580919137,17.2719052520585,18.21069191148918,5
36h_half_life (r=0.63),0.1,20,17.992094129862366,18.182601442624325,18.419783628333914,17.97263008612247,18.44525460631516,5
36h_half_life (r=0.63),0.1,21,18.64951768488744,18.64951768488746,18.649517684887474,18.649517684887435,18.649517684887478,5
36h_half_life (r=0.63),0.3,0,0.0,0.0,0.0,0.0,0.0,5
36h_half_life (r=0.63),0.3,1,1.3244473100923306,1.696965306978697,2.521333326581555,1.2909410286195209,2.631204636563367,5
36h_half_life (r=0.63),0.3,2,2.978813953027464,3.766130678699519,5.452783603290302,2.9075039692987543,5.675114562812095,5
36h_half_life (r=0.63),0.3,3,4.738094971633847,5.90994635778229,8.339010775866662,4.63120182431691,8.655591191087995,5
36h_half_life (r=0.63),0.3,4,6.518210706434163,8.020614473131117,11.033325900774665,6.3801825603470474,11.421452813213227,5
36h_half_life (r=0.63),0.3,5,8.280721588639347,10.052024044179237,13.488051324106035,8.116818034896195,13.92554264935164,5
36h_half_life (r=0.63),0.3,6,10.00639381528237,11.983929841307793,15.69517425816898,9.822089757295716,16.1621261781771,5
36h_half_life (r=0.63),0.3,7,11.685364517713316,13.808536244831577,17.66408181493747,11.486066555365468,18.14341261119951,5
36h_half_life (r=0.63),0.3,8,13.312767497295393,15.524506276635954,19.41175310194028,13.10367172304648,19.88923558029606,5
36h_half_life (r=0.63),0.3,9,14.88654541043735,17.133964305555104,20.95801821570711,14.67256654233644,21.422089380813883,5
36h_half_life (r=0.63),0.3,10,16.406266101339682,18.640881538354193,22.32316017346127,16.192005139113174,22.764640604896258,5
36h_half_life (r=0.63),0.3,11,17.87244797292567,20.050165298804476,23.526697983918268,17.66218149326703,23.93848549868735,5
36h_half_life (r=0.63),0.3,12,19.286162306635457,21.367131917652983,24.586798761136908,19.083844122422054,24.963568416741243,5
36h_half_life (r=0.63),0.3,13,20.648793886887045,22.597198763170987,25.520034775856303,20.458063745695068,25.85796061006871,5
36h_half_life (r=0.63),0.3,14,21.96189519804545,23.745705362737837,26.341330795206606,21.786091376515856,26.63783583223656,5
36h_half_life (r=0.63),0.3,15,23.22709716963802,24.817812004094456,27.064014393727764,23.069271078019824,27.31755066441911,5
36h_half_life (r=0.63),0.3,16,24.446054584280965,25.81844528846984,27.699918932565232,24.308986242575628,27.909776714244344,5
36h_half_life (r=0.63),0.3,17,25.620412920152983,26.752272198550443,28.259510059942702,25.506626619720713,28.42565426136969,5
36h_half_life (r=0.63),0.3,18,26.75178851432897,27.623691399710435,28.752018987071413,26.663568256107,28.874950041858945,5
36h_half_life (r=0.63),0.3,19,27.841757022922216,28.436834819274484,29.18557316495807,27.78116149447404,29.266209640678788,5
36h_half_life (r=0.63),0.3,20,28.891847048414288,29.19557520151566,29.56731938920849,28.86072400782684,29.606899586643085,5
36h_half_life (r=0.63),0.3,21,29.903536977491942,29.90353697749195,29.903536977491978,29.903536977491942,29.903536977491978,5
36h_half_life (r=0.63),1.0,0,0.0,0.0,0.0,0.0,0.0,5
36h_half_life (r=0.63),1.0,1,2.470425788886902,3.176822120915045,4.742769172544548,2.406936474959323,4.951525713000889,5
36h_half_life (r=0.63),1.0,2,5.205792824390626,6.599793533106588,9.584171459566114,5.07956553568307,9.97732649263986,5
36h_half_life (r=0.63),1.0,3,7.972383348517452,9.964447914219885,14.08288083114968,7.790645262389371,14.618926188215099,5
36h_half_life (r=0.63),1.0,4,10.700338715201491,13.18623266344386,18.149954582993693,10.471845263931451,18.788185261908033,5
36h_half_life (r=0.63),1.0,5,13.361821937251982,16.236956456007547,21.783005373611807,13.095575136193002,22.48739540193177,5
36h_half_life (r=0.63),1.0,6,15.944667520546584,19.109143535247345,25.00791483116722,15.649449198730903,25.74789723483114,5
36h_half_life (r=0.63),1.0,7,18.443803394401712,21.804366270464488,27.86000348526417,18.12797973014142,28.610296841182862,5
36h_half_life (r=0.63),1.0,8,20.857744218279873,24.32846939381125,30.37665491616495,20.529182698538843,31.116767067925593,5
36h_half_life (r=0.63),1.0,9,23.18693421704043,26.68932434289115,32.594151702857395,22.852973749333504,33.30779047599033,5
